region,date,value
fid007,2/12/2020,312493
fid007,2/13/2020,314868
fid007,2/7/2020,336373
fid007,5/26/2020,244828
fid007,5/24/2020,278726
fid007,5/30/2020,250267
fid007,2/11/2020,322130
fid007,5/18/2020,243471
fid007,2/5/2020,337832
fid007,2/10/2020,326055
fid007,5/19/2020,217791
fid007,5/31/2020,217016
fid007,5/25/2020,226117
fid007,2/21/2020,359623
fid007,5/28/2020,244871
fid007,2/9/2020,362566
fid007,5/14/2020,254075
fid007,5/15/2020,233686
fid007,5/1/2020,212185
fid007,2/8/2020,354076
fid007,2/20/2020,363685
fid007,5/29/2020,246100
fid007,2/22/2020,367376
fid007,5/17/2020,216858
fid007,5/3/2020,243586
fid007,5/2/2020,233564
fid007,5/16/2020,236699
fid007,2/23/2020,345679
fid007,5/12/2020,263339
fid007,5/6/2020,253666
fid007,2/27/2020,346163
fid007,2/26/2020,356370
fid007,5/7/2020,269411
fid007,5/13/2020,243843
fid007,5/5/2020,260893
fid007,5/11/2020,217844
fid007,2/18/2020,333792
fid007,2/24/2020,346318
fid007,2/25/2020,356186
fid007,5/10/2020,378173
fid007,2/19/2020,325680
fid007,5/4/2020,247975
fid007,4/23/2020,267145
fid007,3/2/2020,343911
fid007,3/16/2020,321081
fid007,3/17/2020,342407
fid007,3/3/2020,341588
fid007,4/22/2020,236719
fid007,4/20/2020,246320
fid007,3/29/2020,300526
fid007,3/15/2020,296339
fid007,4/8/2020,285219
fid007,4/9/2020,322317
fid007,3/14/2020,311242
fid007,4/21/2020,255596
fid007,3/28/2020,304142
fid007,4/19/2020,222344
fid007,4/25/2020,194429
fid007,4/30/2020,230378
fid007,4/24/2020,239593
fid007,3/5/2020,347334
fid007,4/18/2020,242249
fid007,3/7/2020,358121
fid007,3/13/2020,329160
fid007,4/26/2020,232505
fid007,4/27/2020,232101
fid007,3/6/2020,330861
fid008,4/16/2020,1568554
fid008,4/2/2020,1721332
fid008,3/23/2020,1697069
fid008,3/22/2020,1725623
fid008,4/3/2020,1662202
fid008,4/17/2020,1359038
fid008,4/1/2020,1898802
fid008,3/8/2020,1889850
fid008,4/15/2020,1540961
fid008,3/20/2020,1670034
fid008,4/29/2020,1297514
fid008,3/21/2020,1689295
fid008,4/28/2020,1360169
fid008,4/14/2020,1486853
fid008,3/9/2020,1863332
fid008,3/31/2020,1793832
fid008,3/25/2020,1816970
fid008,4/4/2020,1604584
fid008,4/10/2020,1820557
fid008,3/19/2020,2741476
fid008,4/11/2020,1716533
fid008,3/18/2020,1745856
fid008,4/5/2020,1670804
fid008,3/24/2020,1835968
fid008,3/30/2020,1764588
fid008,3/26/2020,1846421
fid008,4/13/2020,1636622
fid008,4/7/2020,1738129
fid008,4/6/2020,1705255
fid008,4/12/2020,1802976
fid008,3/27/2020,1767707
fid008,2/14/2020,1969196
fid008,5/9/2020,1406912
fid008,5/21/2020,1360018
fid008,2/28/2020,1841124
fid008,5/20/2020,1448933
fid008,2/29/2020,1945922
fid008,2/1/2020,2261678
fid008,5/8/2020,1374743
fid008,2/15/2020,2020714
fid008,2/3/2020,1912132
fid008,2/17/2020,1745702
